BAT1:1
BAT2:1
C1:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
D1:1
J3:1
J4:1
J5:1
LED1:1
LED2:1
P1:1
Q1:1
Q2:1
Q3:1
R1:1
R2:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
R_Prog:1
U1:1
U2:1
U3:1
USB1:1
VIN1:1
